dataset	lang	size	bpe.tokens	model	query	map	map.gm	p.5	p.10	r.10	rbo	ndcg	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
wiki	cs	150000	32000	bm25	all	0.6421	0.1379	0.1434	0.0761	0.7612	0.338210918316635	0.6924	30.2	31.5	28.3	29.7	63.3	65.3	61	63.3	37.1	38.7	35.7	37.3	24	25.1	22.5	23.7	15.8	16.7	14.5	15.4
wiki	cs	75000	32000	bm25	all	0.5727	0.0842	0.1301	0.0698	0.6975	0.294061445437705	0.6297	26.5	27.8	24.5	25.9	59.7	61.7	57.1	59.5	32.8	34.4	31.3	32.9	20.2	21.4	18.7	19.9	12.8	13.7	11.5	12.3
wiki	de	175000	32000	neural	all	0.1049	0.0023	0.0287	0.02	0.1998	0.117848052466751	0.1986	31	32.1	29.3	30.5	63.8	65.5	61.8	63.8	38.3	39.6	37.2	38.7	25.2	26.2	24	25	17	17.7	15.8	16.6
wiki	de	25000	16000	bm25	all	0.6058	0.1031	0.1362	0.0718	0.7184	0.301340586726915	0.6586	20	20.8	18.2	19.1	52.3	53.6	50.3	51.9	25.8	26.8	25.1	26.2	14.4	15	13.5	14.1	8.2	8.6	7.3	7.8
wiki	cs	150000	32000	neural	all	0.0794	0.001	0.0219	0.0152	0.152	0.100973648291382	0.1605	30.2	31.5	28.3	29.7	63.3	65.3	61	63.3	37.1	38.7	35.7	37.3	24	25.1	22.5	23.7	15.8	16.7	14.5	15.4
wiki	de	200000	16000	neural	all	0.1084	0.0031	0.0299	0.0213	0.2128	0.120807125779104	0.2074	31.2	32.3	29.5	30.8	64	65.7	62	64	38.5	39.8	37.4	38.9	25.3	26.3	24.2	25.2	17	17.8	15.8	16.7
wiki	cs	75000	32000	neural	all	0.069	6e-04	0.019	0.0133	0.1332	0.0860476590688447	0.1423	26.5	27.8	24.5	25.9	59.7	61.7	57.1	59.5	32.8	34.4	31.3	32.9	20.2	21.4	18.7	19.9	12.8	13.7	11.5	12.3
wiki	cs	175000	16000	neural	all	0.0899	0.0016	0.0254	0.0181	0.1808	0.116301083596024	0.1789	31	32.4	29.1	30.6	63.6	65.6	61.3	63.6	37.8	39.4	36.3	38	24.8	26	23.2	24.5	16.6	17.5	15.2	16.2
wiki	de	125000	32000	bm25	all	0.7417	0.2946	0.1618	0.0845	0.8448	0.390407858842306	0.7831	29.8	30.9	28.1	29.2	63.1	64.8	61	63	37.2	38.4	36.1	37.4	24.2	25	22.9	23.8	16.1	16.7	14.7	15.5
wiki	cs	150000	16000	neural	all	0.0909	0.0014	0.025	0.0172	0.1716	0.111574104879843	0.1762	29.4	30.7	27.4	28.8	62.1	64	59.7	62	36	37.5	34.6	36.1	23	24.2	21.5	22.7	15	15.9	13.7	14.6
wiki	cs	50000	32000	bm25	all	0.4976	0.0454	0.1147	0.0629	0.6288	0.247348484676132	0.56	23.5	24.8	21.6	22.9	57.1	59.1	54.3	56.6	29.8	31.4	28.2	29.9	17.6	18.7	16.1	17.2	10.7	11.5	9.5	10.2
wiki	cs	175000	32000	bm25	all	0.6614	0.167	0.147	0.0776	0.7764	0.350454295547809	0.7109	31.2	32.5	29.2	30.7	63.3	65.2	61.2	63.4	37.5	39	36.1	37.7	24.5	25.6	23	24.2	16.4	17.3	15	15.9
wiki	de	200000	32000	bm25	all	0.7717	0.3437	0.1668	0.0864	0.8639	0.407929055099187	0.8087	32	33.1	30.4	31.7	64.6	66.3	62.6	64.6	39.3	40.6	38.3	39.7	26.1	27.1	25	26	17.7	18.5	16.6	17.4
wiki	de	50000	16000	bm25	all	0.7023	0.2099	0.1541	0.0803	0.803	0.364957200208231	0.7462	24.8	25.9	23.1	24.2	58.7	60.4	56.4	58.3	32.1	33.3	31	32.4	19.5	20.4	18.4	19.3	12.1	12.8	11	11.7
